01/27/2026-23:04:06.309624  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.1.21.58:50754 -> 23.55.178.249:80
01/27/2026-23:04:53.048915  [**] [1:2210054:1] SURICATA STREAM excessive retransmissions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 104.21.46.67:443 -> 10.1.21.58:54840
01/27/2026-23:04:52.388186  [**] [1:2210054:1] SURICATA STREAM excessive retransmissions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.1.21.58:60576 -> 104.17.25.14:443
01/27/2026-23:05:38.444307  [**] [1:2066541:1] ET MALWARE Win32/Lumma Stealer Related CnC Domain in DNS Lookup (whitepepper .su) [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {UDP} 10.1.21.58:63858 -> 10.1.21.2:53
01/27/2026-23:05:38.444307  [**] [1:2014169:4] ET DNS Query for .su TLD (Soviet Union) Often Malware Related [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 10.1.21.58:63858 -> 10.1.21.2:53
01/27/2026-23:05:34.195889  [**] [1:2066850:1] ET MALWARE Win32/Lumma Stealer Related CnC Domain in DNS Lookup (whooptm .cyou) [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {UDP} 10.1.21.58:56979 -> 10.1.21.2:53
01/27/2026-23:05:36.613803  [**] [1:2066542:1] ET MALWARE Observed Win32/Lumma Stealer Related Domain (whitepepper .su) in TLS SNI [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {TCP} 10.1.21.58:56198 -> 153.92.1.49:443
01/27/2026-23:05:40.621458  [**] [1:2014170:6] ET INFO HTTP Request to .su TLD (Soviet Union) Often Malware Related [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.1.21.58:59097 -> 153.92.1.49:80
01/27/2026-23:05:34.217801  [**] [1:2066850:1] ET MALWARE Win32/Lumma Stealer Related CnC Domain in DNS Lookup (whooptm .cyou) [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {UDP} 10.1.21.58:56979 -> 10.1.21.2:53
01/27/2026-23:05:38.457287  [**] [1:2066541:1] ET MALWARE Win32/Lumma Stealer Related CnC Domain in DNS Lookup (whitepepper .su) [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {UDP} 10.1.21.58:58833 -> 10.1.21.2:53
01/27/2026-23:05:38.457287  [**] [1:2014169:4] ET DNS Query for .su TLD (Soviet Union) Often Malware Related [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 10.1.21.58:58833 -> 10.1.21.2:53
